SEXO,IDADE,FX_ID,RACA,ESCOLARI,P1,P2,P3,P4,P5A,P5B,P5C,P5D,P5E,P5F,P5G,P5H,P5I,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P6_10,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P8_1,P8_2,P8_3,P8_4,P8_5,P8_6,P8_7,P8_8,P8_9,P8_10,P8_11,P8_12,P8_13,P9_1,P9_2,P9_3,P10,P11,P12,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,P13_8,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P15A,P15B,P15C,P15D,P15E,P15F,P15G,P16_1,P16_2,P16_3,P16_4,P16_5,P16_6,P16_7,P17_1,P17_2,P17_3,P17_4,P17_5,P18_1,P18_2,P18_3,P18_4,P18_5,P18_6,P19A,P19B,P19C,P19D,P19E,P20_1,P20_2,P20_3,P20_4,P20_5,P20_6,P20_7,P20_8,P20_9,P21A,P21B,P21C,P21D,P21E,P21F,P22_1,P22_2,P22_3,P23,P24A,P24B,P24C,P24D,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P_PCD_1,P_PCD_2,P_PCD_3,P_ORIENT,P_POLITI,RELIGIAO,REND1,REND2,UF,MUNI,REGIAO,COND,PORTE,ID_IPEC,DATA_ENT
1,72,5,1,7,99,2,2,2,5,5,5,5,5,5,5,5,5,,,,,,,,,,,5,,,,,,4,6,,,,,,,,,,,,1,3,8,5,3,2,4,6,7,,,,,,8,,,,,,,,,,,,,,2,,,,,,,97,,,,,,,,,,,5,5,5,3,1,8,,,,,,,,,1,1,1,1,1,1,97,,,1,1,2,98,1,2,3,7,,,,,,4,,,1,1,1,5,5,29,2914604,2,3,5,183041131,13900982400
1,40,3,4,14,1,2,1,3,4,5,4,5,5,5,4,5,5,,,,,,,,,,,1,2,3,4,5,6,5,,,,,,,,,,,,,7,1,3,2,4,2,1,,,,,,,,8,,,,,,,,,,,,,,1,,,,,,,97,,,,,,,,,,,2,2,2,1,5,97,,,,,,,,,2,1,2,1,1,2,97,,,1,2,2,1,2,2,1,7,,,,,,4,,,1,3,1,5,5,29,2914604,2,3,5,183041132,13900982400
1,47,4,3,14,1,2,2,3,2,5,5,2,5,4,5,4,5,,,,,,,,,,,1,2,3,4,5,,1,2,3,4,5,6,7,8,12,,,,,1,3,4,2,3,2,1,2,3,4,5,6,7,8,1,2,3,4,6,7,,2,1,1,1,,1,2,1,6,7,,,,,1,,,,,8,10,,,,,1,1,1,2,1,7,9,,,,,,,,1,2,2,2,2,2,97,,,1,1,2,1,1,2,1,3,6,7,,,,4,,,1,4,3,5,4,29,2914604,2,3,5,183041133,13900982400
2,36,3,2,10,6,2,2,1,1,5,1,1,1,4,2,4,2,,,,,,,,,,,1,3,,,,,1,6,13,,,,,,,,,,,1,4,3,1,4,2,4,7,,,,,,,1,6,,,,,,1,,,,,2,,6,,,,,,,97,,,,,,,,,,,1,1,1,4,1,1,2,,,,,,,,1,1,1,1,1,2,97,,,1,1,1,1,2,2,4,7,,,,,,4,,,99,1,4,6,5,29,2914604,2,3,5,183041134,13900982400
2,22,1,3,14,2,2,2,1,1,5,5,4,5,5,5,2,5,,,,,,,,,,,1,5,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,1,8,4,5,4,2,1,4,7,8,,,,,1,2,3,4,5,6,,2,2,2,2,2,2,,1,6,7,,,,,97,,,,,,,,,,,1,1,1,5,1,97,,,,,,,,,2,1,1,1,1,2,97,,,1,2,2,2,2,1,1,2,,,,,,4,,,1,1,19,6,4,29,2914604,2,3,5,183041135,13900982400
2,37,3,3,11,99,2,3,1,1,1,1,1,1,1,1,1,5,3,,,,,,,,,,99,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,1,3,8,1,4,1,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,2,1,1,1,1,1,1,1,2,3,4,5,6,7,1,2,,,,1,,,,,,1,1,1,1,1,4,,,,,,,,,1,1,1,1,1,1,97,,,1,2,1,2,2,2,1,2,3,4,5,6,7,4,,,1,3,15,6,6,29,2914604,2,3,5,183041136,13900982400
2,53,4,2,4,1,2,2,1,1,5,5,2,5,5,5,2,5,,,,,,,,,,,1,4,6,,,,1,4,6,,,,,,,,,,,1,8,99,5,4,2,1,4,6,7,,,,,1,4,6,,,,,2,,,2,,2,,1,2,3,5,,,,97,,,,,,,,,,,1,1,1,5,1,99,,,,,,,,,2,1,1,1,1,1,97,,,1,1,2,1,1,2,3,6,7,,,,,1,,,99,1,1,6,4,29,2914604,2,3,5,183041137,13900982400
2,16,1,2,13,1,3,3,1,2,2,4,5,5,2,2,5,4,3,,,,,,,,,,1,5,,,,,1,3,4,5,6,9,12,13,,,,,,8,1,3,1,4,2,4,5,,,,,,,4,5,,,,,,,,,2,2,,,1,6,7,,,,,97,,,,,,,,,,,2,1,2,4,1,1,,,,,,,,,1,1,1,1,1,1,97,,,1,2,2,1,2,2,1,3,5,7,,,,1,,,1,1,1,98,5,29,2914604,2,3,5,183041138,13900982400
1,46,4,3,7,1,2,2,1,1,5,5,5,5,5,5,5,5,,,,,,,,,,,1,2,5,6,,,1,2,4,5,6,8,11,13,,,,,,1,8,4,1,4,2,1,2,3,4,5,6,7,8,99,,,,,,,,,,,,,,1,2,3,4,5,6,7,1,2,5,,,2,7,,,,,2,1,4,1,1,5,,,,,,,,,1,1,1,1,1,1,97,,,1,1,1,1,1,2,1,2,3,4,5,6,7,4,,,4,2,1,98,6,29,2914604,2,3,5,183041139,13900982400
1,30,2,3,14,2,1,1,1,1,5,5,5,5,5,5,5,5,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,1,2,3,5,1,2,3,,,,,,,,1,2,3,4,5,6,7,1,1,1,1,1,1,1,1,2,3,4,5,6,7,97,,,,,,,,,,,1,1,1,5,1,97,,,,,,,,,2,2,2,2,2,2,97,,,1,1,2,1,1,2,4,,,,,,,3,,,1,2,1,6,6,11,1100130,1,3,4,183041234,13900982400
2,61,5,1,4,2,2,2,2,1,1,1,1,99,99,1,5,1,1,,,,,,,,,,1,,,,,,1,6,,,,,,,,,,,,1,9,97,4,4,1,1,,,,,,,,6,,,,,,,,,,,,2,,1,,,,,,,97,,,,,,,,,,,1,1,1,5,1,5,,,,,,,,,2,1,1,1,1,1,4,,,1,2,2,2,2,2,1,,,,,,,4,,,1,4,1,98,99,25,2510808,2,3,6,183041270,13900982400
